Catégorie;Niveau;Libellé;juste;faux1;faux2;faux3;faux4;feedback
Général;2;2ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;4ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;6ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;8ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;10ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;12ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;14ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;16ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;18ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;20ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;22ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;24ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;26ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;28ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
Général;2;30ème question;Réponse vraie;Réponse fausse 1;Réponse fausse 2;Réponse fausse 3;Réponse fausse 4;Feedback très court
